text,label
"തേങ്ങ, തേങ്ങാപ്പാൽ, ഈസ്റ്റ് ഇവയൊന്നും ചേർത്തത് കാണിച്ചില്ലല്ലോ",7
Thank you. Kaima rice doubt clear aayi eppol,1
വീണ ചേച്ചി ബ്രെഡ് ഒമ്ബ്ലെയ്ട് ,6
Happy journey...,6
When u come back mam,6
"Love your story Veena... Thanks for sharing. This made me feel like  you became a family member  as I keep watching whenever it comes up. Actually I watched your video a while ago  before, thinking it was a Christian testimony, as I always watch changed lives of many. This was real life, I do watch your videos as it pops up almost everyday. Love to see you and your family often. You have a very simple way of sharing and just love Jan our brother, simple young man, role model and great example for many. Your respect,appreciation  and love for Jan's parents was so sweet to hear. Praying that God will take care of you and  your family and it's good to see you blessed..Never quit as you stayed strong in the most difficult time of your life. Really love to listen to the beautiful vision you had after Avi was born and before seeing him. What a great hope to live.God has a plan and great purpose for you and your family.. Athu was an added blessing. Take care and love you. Stay blessed.",6
I was waiting for this recipe from u. Thanks a lot for giving the recipe...,1
Thank you so much chechi perfect,1
Very helpful chechii.. ennepolulla begginers nu,3
Swabavama ithu nalalu Kanan undankil oru virikala pinne oru virappikal pinna onnu vattam karangi ellarem nokum,6
"Very nice  vlog ,ma'am..enjoyed thoroughly        ",3
Beautiful..Thanks for sharing,5
Veedu super ,6
Will definitely try.Thankyou so much ,1
Mamind  Achappam njan undaki,6
"So in  olden times when the big continental break happened, the original rivers n river valley civilization n spirituality stayed in Asia, n nearby area.. May be. ",6
Congratulations madam....,6
"ചേച്ചി കുട്ടീ.....അടിച്ച് പോളിക്ക് ട്ടോ......,,",6
Adipoli chechiii,3
The raw hand mix always unnerves me..and the final red colo looked quite fierce..huuu ?! And this is the first dish that I hv known to bear no spoon in its preparation ..Caution - swish stir only! Clearly goes to say hw little the rest of us know ?! Ch,6
Love you,6
Happy checheee,6
Veenechiiii sugamayo. Unniappam superrrrrr,4
Adukala itupole irikanam... onnum formal ala ellam open ayi parayunnu ..dress change cheyunnatu vare...,6
Tried the recepie ...its yummy tummy ...recomended recepie  ...,5
Need parip payasam recepie ,1
Thank you,1
Much awaited recipe  will try it soon.. Raita ondakkunna link idaamo,7
Happy journey chechi,6
ഹായ്  എന്റെ അമ്മ ഉണ്ടാക്കാറുണ്ട് അട ദോശ.. ഈ നിറത്തിൽ.. കൊതി ആകുന്നുണ്ടെ... ,6
ഹായ് ചേച്ചി എന്റെ മോൾ കുറെ നാളായി പറയുന്നതാണ് ഈ കേക്ക്. എന്തായാലും ഉണ്ടാകും thankyou ചേച്ചി ,1
മനോഹരമായ വീട് ,6
അട ദോശയിൽ മുതിര ചേർക്കുമെന്ന് കേട്ടിട്ടുണ്ട്,7
Pinne njanum oru trissur kkari thanne ... expecting your reply when free .. Thank you..God bls chechy.,5
Sandeep My husbend name i am sreedhanya,6
After 15 years ....God made me to watch this video ,6
Neengha sema cute Cook laum,4
ഹായ് വീണച്ചേച്ചി ഇപ്പോൾ ആണ് വ്ലോഗ് kaddathe,6
